fecha,Edad_Sem, granja, tamaño_muestra, kilos_total
2015-08-16,11,Potrero,962,33223.632
2015-08-16,10,Potrero,1097,32042.273
2015-08-16,9,Potrero,1082,26203.876
2015-08-23,16,Potrero,1514,96703.722
2015-08-23,15,Potrero,1160,66589.8
2015-08-23,14,Potrero,1088,55937.344
2015-08-23,13,Potrero,1302,59429.79
2015-08-23,12,Potrero,958,38336.286
2015-08-23,11,Potrero,1087,37540.632
2015-08-23,10,Potrero,1074,31370.466
2015-08-30,17,Potrero,1512,106482.6
2015-08-30,16,Potrero,1152,73581.696
2015-08-30,15,Potrero,1088,62456.64
2015-08-30,14,Potrero,1300,66836.9
2015-08-30,13,Potrero,957,43682.265
2015-08-30,12,Potrero,1077,43098.309
2015-08-30,11,Potrero,1061,36642.696
2015-09-06,18,Potrero,1503,115812.162
2015-09-06,17,Potrero,1139,80214.075
2015-09-06,16,Potrero,1082,69110.586
2015-09-06,15,Potrero,1290,74052.45
2015-09-06,14,Potrero,950,48842.35
2015-09-06,13,Potrero,1062,48474.99
2015-09-06,12,Potrero,1047,41897.799
2015-09-13,19,Potrero,1500,125860.5
2015-09-13,18,Potrero,1136,87533.344
2015-09-13,17,Potrero,1078,75918.15
2015-09-13,16,Potrero,1289,82332.297
2015-09-13,15,Potrero,950,54534.75
2015-09-13,14,Potrero,1056,54292.128
2015-09-13,13,Potrero,1044,47653.38
2015-09-20,20,Potrero,1495,136209.45
2015-09-20,19,Potrero,1125,94395.375
2015-09-20,18,Potrero,1071,82524.834
2015-09-20,17,Potrero,1286,90566.55
2015-09-20,16,Potrero,946,60423.858
2015-09-20,15,Potrero,1047,60103.035
2015-09-20,14,Potrero,1042,53572.346
2015-09-27,21,Potrero,1484,146478.22
2015-09-27,20,Potrero,1115,101587.65
2015-09-27,19,Potrero,1065,89360.955
2015-09-27,18,Potrero,1279,98552.066
2015-09-27,17,Potrero,937,65988.225
2015-09-27,16,Potrero,1031,65853.063
2015-09-27,15,Potrero,1038,59586.39
2015-10-04,22,Potrero,1172,124583.6
2015-10-04,21,Potrero,1113,109858.665
2015-10-04,20,Potrero,1063,96849.93
2015-10-04,19,Potrero,1277,107149.239
2015-10-04,18,Potrero,935,72045.49
2015-10-04,17,Potrero,1022,71974.35
2015-10-04,16,Potrero,1034,66044.682
2015-10-11,23,Potrero,56,6378.12
2015-10-11,22,Potrero,1107,117674.1
2015-10-11,21,Potrero,1059,104528.595
2015-10-11,20,Potrero,1275,116165.25
2015-10-11,19,Potrero,931,78117.417
2015-10-11,18,Potrero,1011,77901.594
2015-10-11,17,Potrero,1032,72678.6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
