fecha,granja,tipo_alimento,origen_alimento,kilos
2015-08-22,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-08-23,Maguey,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-08-24,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-08-25,Maguey,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-08-26,Maguey,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-08-27,Maguey,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-08-28,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-08-29,Maguey,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-08-30,Maguey,Engorda 10,Planta de Alimentos Sanfandila,6065
2015-08-31,Maguey,Engorda 10,Sanfandila B,330
2015-09-01,Maguey,Crecimiento,Planta de Alimentos Sanfandila,3450
2015-09-02,Maguey,Desarrollo,Planta de Alimentos Sanfandila,6670
2015-09-03,Maguey,Desarrollo,Planta de Alimentos Sanfandila,9370
2015-09-04,Maguey,Desarrollo,Planta de Alimentos Sanfandila,9550
2015-09-05,Maguey,Desarrollo,Planta de Alimentos Sanfandila,11580
2015-09-06,Maguey,Desarrollo,Planta de Alimentos Sanfandila,11175
2015-09-07,Maguey,Desarrollo,Planta de Alimentos Sanfandila,12060
2015-09-08,Maguey,Desarrollo,Planta de Alimentos Sanfandila,9065
2015-09-09,Maguey,Desarrollo,Planta de Alimentos Sanfandila,8945
2015-09-10,Maguey,Desarrollo,Planta de Alimentos Sanfandila,11165
2015-09-11,Maguey,Engorda 5,Planta de Alimentos Sanfandila,9230
2015-09-12,Maguey,Desarrollo,Planta de Alimentos Sanfandila,5760
2015-09-13,Maguey,Desarrollo,Planta de Alimentos Sanfandila,6545
2015-09-14,Maguey,Engorda 5,Planta de Alimentos Sanfandila,5940
2015-09-15,Maguey,Engorda 5,Planta de Alimentos Sanfandila,11975
2015-09-16,Maguey,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-17,Maguey,Engorda 5,Planta de Alimentos Sanfandila,9030
2015-09-18,Maguey,Engorda 5,Planta de Alimentos Sanfandila,5805
2015-09-19,Maguey,Engorda 5,Planta de Alimentos Sanfandila,15020
2015-09-20,Maguey,Engorda 5,Planta de Alimentos Sanfandila,14860
2015-09-21,Maguey,Engorda 5,Planta de Alimentos Sanfandila,5835
2015-09-22,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8710
2015-09-23,Maguey,Engorda 10,Planta de Alimentos Sanfandila,14335
2015-09-24,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8365
2015-09-25,Maguey,Engorda 10,Planta de Alimentos Sanfandila,5935
2015-09-26,Maguey,Engorda 10,Planta de Alimentos Sanfandila,11950
2015-09-27,Maguey,Engorda 10,Planta de Alimentos Sanfandila,11645
2015-09-28,Maguey,Engorda 10,Planta de Alimentos Sanfandila,8945
2015-09-29,Maguey,Engorda 10,Planta de Alimentos Sanfandila,5960
2015-09-30,Maguey,Engorda 10,Planta de Alimentos Sanfandila,6065
